Unnamed: 0.1,Var1
0,A4GALT
1,A4GNT
2,AACS
3,AADAC
4,AADAT
5,AANAT
6,AASS
7,ABAT
8,ABCA1
9,ABCB11
10,ABCB4
11,ABCC1
12,ABCC3
13,ABCC4
14,ABCC5
15,ABO
16,ABP1
17,ACAA1
18,ACACA
19,ACACB
20,ACAD10
21,ACAD11
22,ACAD8
23,ACAD9
24,ACADM
25,ACADS
26,ACADSB
27,ACAT1
28,ACAT2
29,ACHE
30,ACLY
31,ACMSD
32,ACO1
33,ACO2
34,ACOT12
35,ACOT2
36,ACOT8
37,ACOX1
38,ACOX2
39,ACOX3
40,ACP1
41,ACP2
42,ACSL1
43,ACSL3
44,ACSL4
45,ACSL5
46,ACSM1
47,ACSS1
48,ACSS2
49,ACY1
50,ACY3
51,ACYP1
52,ACYP2
53,ADA
54,ADC
55,ADCY1
56,ADCY10
57,ADCY2
58,ADCY3
59,ADCY4
60,ADCY5
61,ADCY6
62,ADCY7
63,ADCY8
64,ADCY9
65,ADH1A
66,ADH1B
67,ADH1C
68,ADH4
69,ADH5
70,ADH6
71,ADH7
72,ADHFE1
73,ADK
74,ADSL
75,ADSS
76,ADSSL1
77,AGA
78,AGL
79,AGMAT
80,AGPAT1
81,AGPAT2
82,AGPAT3
83,AGPAT4
84,AGPAT5
85,AGPAT6
86,AGPS
87,AGXT
88,AGXT2
89,AGXT2L1
90,AHCY
91,AHCYL1
92,AHCYL2
93,AICDA
94,AK1
95,AK2
96,AK3
97,AK3L1
98,AK5
99,AK7
100,AKR1A1
101,AKR1B1
102,AKR1C1
103,AKR1C4
104,AKR1D1
105,AKR7A2
106,ALAD
107,ALAS1
108,ALAS2
109,ALDH18A1
110,ALDH1A1
111,ALDH1A2
112,ALDH1A3
113,ALDH1B1
114,ALDH1L1
115,ALDH2
116,ALDH3A1
117,ALDH3A2
118,ALDH3B1
119,ALDH3B2
120,ALDH4A1
121,ALDH5A1
122,ALDH6A1
123,ALDH7A1
124,ALDH9A1
125,ALDOA
126,ALDOB
127,ALDOC
128,ALG1
129,ALG10
130,ALG12
131,ALG2
132,ALG3
133,ALG5
134,ALG6
135,ALG8
136,ALOX12
137,ALOX12B
138,ALOX15
139,ALOX15B
140,ALOX5
141,ALPI
142,ALPL
143,ALPP
144,ALPPL2
145,AMACR
146,AMD1
147,AMDHD2
148,AMPD1
149,AMPD2
150,AMPD3
151,AMT
152,AMY1A
153,AMY1B
154,AMY1C
155,AMY2A
156,AMY2B
157,ANPEP
158,AOC2
159,AOC3
160,AOX1
161,APRT
162,AQP8
163,AQP9
164,ARG1
165,ARG2
166,ARSA
167,ARSB
168,ASAH1
169,ASL
170,ASMT
171,ASNS
172,ASPA
173,ASRGL1
174,ASS1
175,ATHL1
176,ATIC
177,ATP10A
178,ATP1A1
179,ATP1A2
180,ATP1A3
181,ATP1A4
182,ATP1B1
183,ATP1B2
184,ATP1B3
185,ATP1B4
186,ATP2B1
187,ATP2B2
188,ATP2B3
189,ATP2B4
190,ATP4A
191,ATP4B
192,ATP5A1
193,ATP5B
194,ATP5C1
195,ATP5D
196,ATP5E
197,ATP5F1
198,ATP5G1
199,ATP5G2
200,ATP5G3
201,ATP5H
202,ATP5I
203,ATP5J
204,ATP5J2
205,ATP5L
206,ATP6V0A1
207,ATP6V0A2
208,ATP6V0A4
209,ATP6V0B
210,ATP6V0C
211,ATP6V0D1
212,ATP6V0D2
213,ATP6V0E1
214,ATP6V1A
215,ATP6V1B1
216,ATP6V1B2
217,ATP6V1C1
218,ATP6V1C2
219,ATP6V1D
220,ATP6V1E1
221,ATP6V1E2
222,ATP6V1F
223,ATP6V1G1
224,ATP6V1G2
225,ATP6V1G3
226,ATP6V1H
227,ATP8A1
228,AUH
229,B3GALNT1
230,B3GALT4
231,B3GALT5
232,B3GALT6
233,B3GAT1
234,B3GAT2
235,B3GAT3
236,B3GNT1
237,B3GNT2
238,B3GNT3
239,B3GNT4
240,B3GNT5
241,B3GNT6
242,B3GNT7
243,B3GNT8
244,B4GALNT1
245,B4GALT1
246,B4GALT2
247,B4GALT3
248,B4GALT5
249,B4GALT7
250,BAAT
251,BBOX1
252,BCAT1
253,BCAT2
254,BCKDHA
255,BCKDHB
256,BCMO1
257,BDH1
258,BHMT
259,BHMT2
260,BLVRA
261,BLVRB
262,BPGM
263,BPNT1
264,BTD
265,C1GALT1
266,C9orf95
267,CA1
268,CA12
269,CA13
270,CA14
271,CA2
272,CA3
273,CA4
